factor,IC_IR,IC_mean,IC_t,FM_λ_annual,FM_t,cs_effective_ratio,IC_pass,FM_pass,CS_pass,pass
alpha166,0.26791006187906014,0.020397535774859428,16.679418625012627,0.08516602524706393,5.623424899240789,1.0,True,True,True,True
alpha049,0.2644893379986955,0.040580527102473944,16.479192810631965,0.21266281711587767,3.460591389642833,0.999484934329127,True,True,True,True
alpha048,0.26311628009193044,0.039620098283487046,16.39575483795361,0.19345952956276333,3.228925637563651,0.9992276004119465,True,True,True,True
alpha070,0.26246594257903055,0.043912174353372545,16.34891065282112,0.15297567000286397,2.861825666154989,1.0,True,True,True,True
alpha085,0.26174057205806517,0.032610169638371926,16.303727579844395,0.17123704266555534,4.254430706934161,1.0,True,True,True,True
alpha068,0.26144327886502833,0.0436643772746477,16.28520929208907,0.149196705588162,2.7413113502347572,1.0,True,True,True,True
alpha060,0.2603460457518976,0.03622023436969745,16.218952697184164,0.014729603079819038,0.3807391981493495,,True,False,False,False
alpha073,0.2585223217976531,0.022952455083603825,16.10326391035306,0.04662006562373512,2.5664824345719586,1.0,True,True,True,True
alpha021,0.2585223217976531,0.022952455083603825,16.10326391035306,0.04662006562373512,2.5664824345719586,1.0,True,True,True,True
alpha050,0.2579176389295203,0.039822293942943066,16.06766860424583,0.19828997833771952,3.204344431403853,1.0,True,True,True,True
alpha176,-0.25765590154630763,-0.03429141724978538,-16.059632610753386,0.1432229757244084,2.3647469181768446,0.9904761904761905,True,True,True,True
alpha071,0.25638452831582104,0.042881255582798185,15.970101511128131,0.14154107093011276,2.703730651622588,1.0,True,True,True,True
alpha150,0.25623923163592366,0.033199892842901944,15.963107736333152,0.2573169730898287,4.622238705142457,0.00231839258114374,True,True,False,False
alpha160,0.2543391543694394,0.018820360196752924,15.834527448150173,0.06460285897587678,4.602950617502051,1.0,True,True,True,True
alpha143,0.2500783577710031,0.029502430675064716,15.577292380215322,0.0542824522921798,1.473628333089667,,True,False,False,False
alpha151,-0.25002887644293087,-0.035602470425404764,-15.576217062357443,-0.23852235239990366,-3.903952239672265,0.0018031942297784646,True,True,False,False
alpha163,-0.24949544434782947,-0.018062077498182887,-15.532970027790682,-0.07929103367828447,-5.6670529586321114,1.0,True,True,True,True
alpha072,0.2488411065000122,0.022751628021502834,15.500224436520382,0.019435653982575313,1.1102745364107445,,True,False,False,False
alpha016,0.2488411065000122,0.022751628021502834,15.500224436520382,0.019435653982575313,1.1102745364107445,,True,False,False,False
alpha066,0.24217847149864383,0.03932031329102597,15.089098700946398,0.06789771408818827,1.3169459545528888,,True,False,False,False
alpha170,0.2416111510139819,0.015600667549759988,15.042113401670369,0.04384109303405672,3.807547585496,1.0,True,True,True,True
alpha167,-0.2411591554689277,-0.01821284824170268,-15.013973275615665,-0.07654159029550861,-5.445259428832233,1.0,True,True,True,True
alpha059,0.2410355330662346,0.033348088942779706,15.015952701917822,0.05159319200166537,1.2335588637825,,True,False,False,False
alpha069,0.2397916527104699,0.03944510747631777,14.9384618508744,0.08016946066314269,1.5333295386748444,,True,False,False,False
alpha083,0.2372506740703342,0.04306489523198631,14.768735358654048,0.08774428587444255,1.5505954917468103,,True,False,False,False
alpha067,0.23619881269917287,0.03891810315492181,14.7146362804745,0.06279815306262823,1.172406088306624,,True,False,False,False
