factor,IC_IR,IC_mean,IC_t,IC_days,FM_λ_annual,FM_t,FM_days,cs_effective_ratio,IC_pass,FM_pass,CS_pass,pass
alpha153,-0.07871684516110167,-0.018791967016915444,-4.903876240763577,3881,-0.04159822505497663,-0.5996130370907717,3882,0.1110252447192169,True,False,False,False
alpha128,0.07710644301573033,0.009836569208528727,4.805408141440835,3884,-0.18866105119193935,-4.489469827541548,3885,1.0,True,True,True,True
alpha031,-0.07656682947142907,-0.006335074348381546,-4.766861657179652,3876,-0.1491109241647772,-5.333184036518232,3877,0.0,True,True,False,False
alpha074,0.07359864222786609,0.006998937634592344,4.584433371160222,3880,-0.044929972839732005,-2.2665499152070607,3881,1.0,True,True,True,True
alpha022,0.07359864222786609,0.006998937634592344,4.584433371160222,3880,-0.044929972839732005,-2.2665499152070607,3881,1.0,True,True,True,True
alpha104,-0.07330385510390945,-0.011832192319904658,-4.569012294519887,3885,-0.33517390059180335,-6.510457442030627,3886,1.0,True,True,True,True
alpha155,-0.07051130283883839,-0.01690279214508408,-4.392690052415023,3881,-0.013253032477906343,-0.18185548380149416,3882,0.04739824832560536,True,False,False,False
alpha158,0.07012927779065539,0.014427269241205071,4.368890781073203,3881,0.033676977276659796,0.5187170076162929,3882,0.0018031942297784646,True,False,False,False
alpha025,0.06872950108893407,0.00959865091601825,4.282791051907961,3883,-0.1527653906150659,-3.483911224577145,3884,1.0,True,True,True,True
alpha090,0.0685661529676723,0.01286366349559161,4.261043010721723,3862,-0.11884299904878888,-2.310622018351,3863,0.0,True,True,False,False
alpha159,-0.0639639868978624,-0.014518039627275084,-3.984807508113175,3881,-0.1849975542004399,-2.7469794501102816,3882,0.005667181865018032,True,True,False,False
alpha076,0.06285331831177927,0.009902581790681425,3.915615440271679,3881,0.022858663435595783,0.4842188659407867,3882,1.0,True,False,True,False
alpha034,0.06192670576601029,0.007533022364707154,3.8593804151993836,3884,0.01642012590107487,0.3325269633602767,3885,0.02702702702702703,True,False,False,False
alpha138,-0.060125284241545736,-0.00739578196378005,-3.7451826716318486,3880,0.08730833931189423,1.3753784286230981,3881,0.0,True,False,False,False
alpha077,0.05822753153843452,0.009160988922809699,3.6251022720792556,3876,0.020512278085361126,0.4361391592827857,3877,1.0,True,False,True,False
alpha177,0.05808319110826423,0.0072633817911630875,3.618447617922305,3881,-0.06316237467325327,-1.5568027000795945,3882,0.9987120041215868,True,False,True,False
alpha139,0.05803278159014895,0.0075261504317846025,3.615307222271438,3881,0.25708729244182615,5.409355216911871,3882,0.0007727975270479134,True,True,False,False
alpha180,-0.05540309956983014,-0.007168756325681367,-3.44926011500683,3876,0.2885500237193264,4.84228334903574,3877,0.0064516129032258064,True,True,False,False
alpha006,0.05497432065807514,0.008069839380928158,3.418589523229694,3867,-0.6743948581824823,-9.809594031497475,3868,0.0,True,True,False,False
alpha004,0.05384949067352124,0.006556995706163279,3.353401098944665,3878,-0.033757186739891594,-2.211305168469277,3879,0.0,True,True,False,False
alpha182,0.05360518041290426,0.005814218422802122,3.3411984677931894,3885,0.10778900954668516,2.342163338087265,3886,0.9595985589294905,True,True,True,True
alpha078,0.053596329936381235,0.008397876852578817,3.332467915602897,3866,0.014709916172235262,0.31426993092881106,3867,1.0,True,False,True,False
alpha187,0.0535705567800906,0.0048913356718742985,3.3386106222024594,3884,0.12489129614876895,4.019976909244277,3885,0.9979407979407979,True,True,True,True
alpha005,-0.04996653988367319,-0.007215030290690238,-3.1123980816780503,3880,-0.6892737507690114,-8.615672316593534,3881,0.0023189899510435456,False,True,False,False
alpha115,-0.04885147455358657,-0.004048434641072829,-3.0429410569893887,3880,-3.924699390533285e-05,-0.0023796949286216677,3881,1.0,False,False,True,False
alpha174,-0.04884881112076407,-0.008886692433951194,-3.0372806490392215,3866,-0.11909966669126539,-2.112759290233889,3867,0.9994828032066201,False,True,True,False
alpha173,-0.04815301345527285,-0.00720272997091617,-2.996727265832202,3873,-0.0058352480467246315,-5.307843671967272,3874,1.0,False,True,True,False
alpha189,0.047690478610374364,0.004201396792683228,2.9710058182517916,3881,0.16960352081043462,5.177560461204046,3882,0.006955177743431221,False,True,False,False
alpha020,0.047223583305600655,0.007103675516328398,2.941161198512805,3879,-0.009525130328607415,-0.16919378116562786,3880,0.16108247422680413,False,False,False,False
alpha012,-0.04543163728708353,-0.005098249912654122,-2.8284615061343716,3876,-0.29161732731486245,-2.507343204701144,3877,1.0,False,True,True,False
alpha007,0.04417426409244464,0.005992256990214274,2.7523083567578888,3882,0.11349363799104858,3.820370113895219,3883,1.0,False,True,True,False
alpha109,-0.03915438100004676,-0.004658957569972008,-0.9290403142451416,563,-0.05179464018273791,-0.9093207196839901,563,1.0,False,False,True,False
alpha123,-0.036687971353186064,-0.0034707287586535707,-2.2814491019659373,3867,-0.26336920266482894,-4.396081215867108,3868,0.0,False,True,False,False
alpha122,0.036315985976560876,0.004863359148041773,2.263275646635843,3884,-0.24942298512661099,-5.724932126802384,3885,0.9987129987129987,False,True,True,False
alpha117,-0.03629678280085156,-0.003836195631242897,-2.0844594850226414,3298,-0.019497244451116284,-0.8546499644696586,3299,1.0,False,False,True,False
alpha112,0.03293271754067438,0.002547951190543243,2.051367317742414,3880,0.03819778370870833,2.4033316818017436,3881,1.0,False,True,True,False
