factor,IC_IR,IC_mean,IC_t,IC_days,FM_λ_annual,FM_t,FM_days,cs_effective_ratio,IC_pass,FM_pass,CS_pass,pass
alpha108,0.19906520773027483,0.01692457736755854,12.399701322344267,3880,0.09878766337882906,4.450807250835524,3881,1.0,True,True,True,True
alpha137,-0.19505316254723545,-0.016533527496288995,-11.333243378558223,3376,-0.464713495680792,-3.4699537903055253,3377,0.0,True,True,False,False
alpha058,0.19444327317567459,0.03000417602364013,12.113363353815938,3881,0.005739151023339141,0.1318467153982379,3882,0.0007727975270479134,True,False,False,False
alpha101,-0.19082842932809904,-0.016268147652968117,-11.127113915810316,3400,-0.4695907167839324,-3.3334980550972038,3401,0.0,True,True,False,False
alpha042,0.1902601392372461,0.023712698144104406,11.851236722823316,3880,0.18181459205134862,4.015662965422225,3881,0.0791033238855965,True,True,False,False
alpha070,0.18765230922495052,0.035857258804507526,11.68879591450424,3880,0.05298317626478965,0.9555478151563226,3881,1.0,True,False,True,False
alpha176,-0.18730339320447306,-0.0304843588380573,-11.674577075699924,3885,0.06794129768080233,2.6862462660491153,3886,0.9925373134328358,True,True,True,True
alpha068,0.18570654917038423,0.035566839326438685,11.567595209485706,3880,0.04520635134107916,0.7952893862564218,3881,1.0,True,False,True,False
alpha148,0.1838388074621253,0.02688731097096126,11.45125423964091,3880,0.07105257330356474,1.6104539036899201,3881,1.0,True,False,True,False
alpha082,0.18380943971849348,0.036404096676724874,11.449424933285984,3880,-0.01596717034563081,-0.2820066938626266,3881,1.0,True,False,True,False
alpha143,0.18340887015798304,0.02689277236937366,11.424473597159572,3880,0.0013440073018387735,0.029849081599224152,3881,1.0,True,False,True,False
alpha144,0.1824408358393524,0.027064456885743052,11.364175082126934,3880,0.06808776079649682,1.533476813119205,3881,1.0,True,False,True,False
alpha054,0.18241791838800472,0.026833186034981873,11.365675728088828,3882,0.17655876557018738,3.2716424377947884,3883,1.0,True,True,True,True
alpha071,0.18031106984916923,0.03422410792305639,11.231512712515162,3880,0.03624137890971856,0.671896301324623,3881,1.0,True,False,True,False
alpha152,0.17972487917454694,0.027379648020845925,11.19644166447982,3881,0.14700205691847273,2.6793732407213526,3882,0.009788768675940238,True,True,False,False
alpha053,0.17934879209031565,0.026266930251764062,11.175890844034905,3883,0.1869637015495916,3.578221753359411,3884,0.9997425334706488,True,True,True,True
alpha009,-0.17715751816965236,-0.03127454547119405,-11.033656956811514,3879,-2358.837325051141,-0.6139335846957069,1575,1.0,True,False,True,False
alpha129,0.17525578705138928,0.016487534012904113,0.8762789352569464,25,6.574734018124112,0.8731616865388648,25,0.0,True,False,False,False
alpha055,0.1749277199471262,0.02599391685908875,10.897589809957921,3881,0.13897589315373288,2.521113667019248,3882,1.0,True,True,True,True
alpha051,0.17411024432555153,0.032241190335218516,10.845265485681786,3880,0.1437351639803428,2.1851784305916038,3881,1.0,True,True,True,True
alpha159,-0.17333585397847567,-0.018578362460568494,-10.798420265165202,3881,-0.16886936783118517,-4.019111643660718,3882,0.00025759917568263783,True,True,False,False
alpha069,0.1716059913201021,0.03229153883204658,10.690653847788834,3881,-0.008205987200114956,-0.15248482033749094,3882,1.0,True,False,True,False
alpha066,0.1711175868283618,0.032019679606001425,10.661600682930132,3882,-0.01577818172619251,-0.29375761444119364,3883,1.0,True,False,True,False
alpha067,0.1681448210090851,0.031750906405094884,10.475030993256295,3881,-0.02413892255164625,-0.4353342018603017,3882,1.0,True,False,True,False
alpha158,0.167566430988539,0.01699699588769954,10.43899864117402,3881,0.1913674475131555,4.52710937200353,3882,0.0,True,True,False,False
alpha065,0.16719195753428961,0.03113813587400275,10.41432785046126,3880,-0.0002895636430094219,-0.0049689265709851735,3881,1.0,True,False,True,False
alpha044,-0.16413933875549633,-0.06351861888495174,-3.8494087065288833,550,-10.303411745770653,-1.8145865196850532,532,1.0,True,False,True,False
alpha102,0.1629669126079216,0.01929269472396747,10.157689882067755,3885,0.3511168319195576,4.878433227387336,3886,0.0,True,True,False,False
alpha049,0.15974657566416828,0.028845043140860876,9.9531218956774,3882,0.0646684509456582,1.0051799058964652,3883,1.0,True,False,True,False
alpha132,0.15942886416179453,0.020034390160921643,9.932047167983912,3881,0.08961484870984329,1.919562088794575,3882,0.004379185986604843,True,False,False,False
alpha157,-0.15880581411085826,-0.025053172513842613,-9.893232599954162,3881,-0.090550846248092,-1.562838951833421,3882,0.020865533230293665,True,False,False,False
alpha153,-0.15741393375525875,-0.024716516744762846,-9.806521693389746,3881,-0.1298603542665191,-2.300711272569962,3882,0.014940752189592994,True,True,False,False
alpha060,0.1570670635897196,0.02390530411520127,9.784912489413953,3881,-0.07048005316966012,-1.6515230817794853,3882,0.00025759917568263783,True,False,False,False
alpha110,0.15509785058906442,0.017279607087895024,9.660990210041064,3880,-0.011373229518787114,-0.6275592513481835,3881,1.0,True,False,True,False
alpha048,0.1544708878786837,0.027738016723101694,9.625656026966583,3883,0.03266377230930273,0.5186511899912669,3884,1.0,True,False,True,False
alpha154,0.1527716486392455,0.022384787849012946,9.517318135540386,3881,0.1326518366221495,2.491972289334432,3882,0.011591962905718702,True,True,False,False
alpha088,0.15141076932664274,0.026755803427013877,9.425244380854672,3875,0.01797276203698344,0.3345397989153061,3876,0.0,True,False,False,False
alpha036,0.1513766991264893,0.01885748011122597,9.432845607992858,3883,0.17245213584269492,3.896315335250095,3884,0.06822863027806385,True,True,False,False
alpha050,0.1513513054453456,0.027396103596493932,9.428834060396863,3881,0.04662991811390912,0.7214806655939139,3882,1.0,True,False,True,False
alpha140,0.15115629017315388,0.021699494674458256,9.41668506283567,3881,-0.04322657893968143,-0.8670154456226383,3882,0.001287995878413189,True,False,False,False
alpha063,0.1492879893698237,0.02744295220726553,9.301492376789243,3882,-0.06703887625827992,-1.1919243148980168,3883,1.0,True,False,True,False
alpha062,0.14863227278584207,0.02741380839458182,9.26183018684008,3883,-0.07155729675164213,-1.3140128011669108,3884,1.0,True,False,True,False
alpha008,0.14632297676379036,0.027335188047791562,9.115580886927281,3881,0.0056226422268210105,0.10404766212035542,3882,1.0,True,False,True,False
alpha147,0.14578313915738922,0.02242073285074374,9.080780132280536,3880,0.03994305192068192,0.8426052096209732,3881,1.0,True,False,True,False
alpha018,0.1453692253453573,0.02131446530629782,9.05966390962965,3884,0.15960328014121222,3.2001945557360014,3885,1.0,True,True,True,True
alpha052,0.1453692253453573,0.02131446530629782,9.05966390962965,3884,0.15960328014121222,3.2001945557360014,3885,1.0,True,True,True,True
alpha064,0.14518373786005848,0.0267646639106377,9.044608954793432,3881,-0.08375585758762283,-1.460632922636347,3882,1.0,True,False,True,False
alpha166,0.14508002362340386,0.012932906123429929,9.032323874546535,3876,0.021332199554784038,1.3903057808450134,3877,1.0,True,False,True,False
alpha096,0.14499301395523817,0.03037131337804296,9.037380945953082,3885,0.12132297568108691,1.9228801113865768,3886,0.9984559958826557,True,False,True,False
alpha156,0.14427786096499473,0.02228598762488438,8.988174932651562,3881,0.08841510691617514,1.586806913592628,3882,0.01777434312210201,True,False,False,False
alpha059,0.14327072825093476,0.021710343933673687,8.925432908658266,3881,-0.036599009693084564,-0.8429089787690709,3882,0.00025759917568263783,True,False,False,False
alpha083,0.142305662769806,0.02951284688480959,8.858456068546639,3875,-0.04196526523706352,-0.7108262410835691,3876,1.0,True,False,True,False
alpha160,0.1403208325170634,0.012541465180050339,8.736028393061694,3876,0.008172268437464218,0.5372955956250267,3877,1.0,True,False,True,False
alpha162,0.14002657327532278,0.012343159664761003,8.7177085395898,3876,0.019092112187378878,1.2673141586009933,3877,1.0,True,False,True,False
alpha109,-0.1392565016827474,-0.017230584488110722,-4.82800503931202,1202,-0.013625278136835825,-0.37364449327206223,1202,1.0,True,False,True,False
alpha163,-0.13470995599971838,-0.011843592254358472,-8.38670908183591,3876,-0.019638365257284515,-1.3288727061849646,3877,1.0,True,False,True,False
alpha043,-0.13469574351217561,-0.0519794063991132,-3.1588951907532152,550,-12.482282046394134,-2.9741207351771215,532,1.0,True,True,True,True
alpha038,0.1342232243900884,0.016765259115393585,8.362871679915864,3882,0.09918493932787975,2.3001294459400414,3883,0.07442698944115375,True,True,False,False
alpha167,-0.1337468032268275,-0.012118782092103547,-8.326745569505638,3876,-0.019976026118884386,-1.3109233245863015,3877,1.0,True,False,True,False
alpha106,0.13336223057013247,0.013436547573272936,8.307086133262839,3880,-0.004545924211581026,-0.24419755489915335,3881,1.0,True,False,True,False
alpha155,-0.13204926238724235,-0.0208192009708566,-8.226361703214511,3881,-0.1179930502963606,-2.0359590609998666,3882,0.015198351365275631,True,True,False,False
alpha169,-0.13117745059308106,-0.010349378261323186,-8.166784021690084,3876,-0.0304540222478485,-2.3800791857113395,3877,1.0,True,True,True,True
alpha161,-0.12948301621899908,-0.011592947061347565,-8.06129272338012,3876,-0.006736302709791995,-0.4514373521554098,3877,1.0,True,False,True,False
alpha145,0.12103886010076197,0.017518777212722308,7.539467749080719,3880,-0.014453521583063674,-0.3150710797305546,3881,1.0,True,False,True,False
alpha047,0.12039100420792191,0.021304053512954654,7.502977561278005,3884,-0.03971510191720322,-0.6387306174792003,3885,0.9997425997425997,True,False,True,False
alpha183,0.11990308189299138,0.011277361407874031,7.468720526573283,3880,0.02412771834341713,1.410181158582861,3881,1.0,True,False,True,False
alpha031,-0.11957388619400448,-0.009704410837730774,-7.444374766893751,3876,-0.18014082865156453,-7.9850805572640295,3877,0.0,True,True,False,False
alpha149,0.11750102024366804,0.017832064635373596,7.319096956743721,3880,-0.06750460670911754,-1.414189889671089,3881,1.0,True,False,True,False
alpha034,0.11741855860664017,0.01429599187641315,7.317729562100099,3884,0.1575595683653783,3.782221477495859,3885,0.06872586872586872,True,True,False,False
alpha040,0.11579633976378285,0.01436668817924107,7.2138424523091516,3881,0.023785348373921926,0.5601941829832194,3882,0.07779495105615662,True,False,False,False
alpha107,0.1130660200188365,0.011108725423410046,7.042842362686514,3880,-0.03007229113923506,-1.6864461591604698,3881,1.0,True,False,True,False
alpha089,0.11273046529962533,0.020419896633995634,7.01379204636263,3871,-0.027689608513363315,-0.4939307482799416,3872,0.0,True,False,False,False
alpha099,-0.11157589318417079,-0.010013019716260226,-6.681523723245014,3586,-0.5250954033209438,-4.8873118195217575,3587,0.0,True,True,False,False
alpha084,0.11132027230922939,0.023992445630094176,6.9206838317726085,3865,-0.02196347506281432,-0.3594100243186021,3866,1.0,True,False,True,False
alpha120,0.11020904369693951,0.014601727856987457,6.868420006530964,3884,0.10143670848463154,2.5730735969336322,3885,0.9997425997425997,True,True,True,True
alpha075,0.10978867642779121,0.011173233836844527,6.838697790548505,3880,-0.027716215058762907,-1.5869349362286072,3881,1.0,True,False,True,False
alpha023,0.10978867642779121,0.011173233836844527,6.838697790548505,3880,-0.027716215058762907,-1.5869349362286072,3881,1.0,True,False,True,False
alpha146,0.10877707702846162,0.014017579023610624,6.775685622060751,3880,0.07580000237198667,1.9403984897182882,3881,1.0,True,False,True,False
alpha168,0.10787326092119408,0.00846853868984861,6.715922741871614,3876,-0.008654915456047421,-0.6847353738979425,3877,1.0,True,False,True,False
alpha138,-0.10769518188114895,-0.012337064714962239,-6.701375420016554,3872,-0.1497140716020772,-1.6328811361327857,3873,0.0,True,False,False,False
alpha135,-0.10762989292765546,-0.009608705459174588,-6.416402804426514,3554,-0.4238352095838588,-4.583686023498832,3555,0.0,True,True,False,False
alpha028,0.10760874841095487,0.01760417222366655,6.702910846053382,3880,-0.029571410870015618,-0.6106497057078248,3881,1.0,True,False,True,False
alpha184,-0.10725863937231318,-0.00994060794658099,-6.681102677971634,3880,0.009158475233387336,0.5165752415953687,3881,1.0,True,False,True,False
alpha179,0.10723554934542204,0.015539652640256559,6.680525134410577,3881,-0.02092517233081315,-0.35255872232881,3882,0.005667181865018032,True,False,False,False
alpha021,0.10600665780703528,0.01085857781950148,6.60311718945994,3880,-0.031631027337098716,-1.7281165330775665,3881,1.0,True,False,True,False
alpha073,0.10600665780703528,0.01085857781950148,6.60311718945994,3880,-0.031631027337098716,-1.7281165330775665,3881,1.0,True,False,True,False
alpha175,-0.10464006119526972,-0.02250853453360801,-6.517992370275159,3880,-0.03866707033016666,-1.7296202356476313,3881,1.0,True,False,True,False
alpha095,0.10414985654288321,0.01748059098531554,6.477417776093294,3868,-0.1064688913488251,-1.7364221126631334,3869,0.0923829130211014,True,False,False,False
alpha026,0.10309476961109301,0.016572432223588035,6.423391578065282,3882,-0.025802528541143607,-0.5537915232592538,3883,1.0,True,False,True,False
alpha180,-0.10146256241429123,-0.014730553410073077,-6.320881485178043,3881,0.08709658127733724,1.3801376256775455,3882,0.0033487892838742917,True,False,False,False
alpha170,0.10144425642078464,0.007675865394675702,6.315668803470354,3876,-0.006139154043654412,-0.5033575750658194,3877,1.0,True,False,True,False
alpha072,0.10129408801394164,0.010761145919860549,6.309572885252653,3880,-0.05350494095342462,-2.948412945809304,3881,1.0,True,True,True,True
alpha016,0.10129408801394164,0.010761145919860549,6.309572885252653,3880,-0.05350494095342462,-2.948412945809304,3881,1.0,True,True,True,True
alpha131,0.10126371164943418,0.015418878308136392,6.2946617894597265,3864,-0.14936675108833516,-2.6659562650363515,3865,0.0,True,True,False,False
alpha019,0.09823839274727607,0.020665969184641062,6.118446096789161,3879,0.0574153063965007,0.941032569648661,3880,1.0,True,False,True,False
alpha017,0.09802741699078142,0.019613714668048773,6.109239763476268,3884,0.008649104648834265,0.14715456926637852,3885,0.9994851994851995,True,False,True,False
alpha006,0.09288083401628766,0.014515322737032033,5.7720786639685775,3862,-0.3114489448494263,-5.495261183843069,3863,0.0,True,True,False,False
alpha113,-0.09210814102703363,-0.010309562475205184,-5.737383499175295,3880,-0.09663927192966783,-4.663182086106285,3881,1.0,True,True,True,True
alpha103,0.09207700886593156,0.013667556117641616,5.739138616307523,3885,0.16544479831442185,3.643761290519365,3886,0.8986103962943901,True,True,True,True
alpha090,0.08856647858317367,0.016330367997920335,5.496832668679184,3852,-0.02212380105836278,-0.4075559569585739,3853,0.0,True,False,False,False
alpha164,0.08699211797141128,0.007150861333821248,5.415914365234453,3876,-0.008838772585972841,-0.6299689225042217,3877,1.0,True,False,True,False
alpha174,-0.08549739768302207,-0.018568327963485006,-5.315985907699445,3866,-0.060226818657286345,-1.5197819861248634,3867,0.9992242048099301,True,False,True,False
alpha025,0.08390031424339377,0.013702718068169036,5.228140891477054,3883,-0.0448840618794475,-0.9615453405420867,3884,1.0,True,False,True,False
alpha128,0.08333827265004146,0.011962353043576558,5.193786643801288,3884,-0.07852101531957408,-1.8827928922696469,3885,1.0,True,False,True,False
alpha165,-0.08027016658889785,-0.00679006073881317,-4.9974222776303066,3876,0.005155628698609976,0.3689920655081352,3877,1.0,True,False,True,False
alpha134,0.07968505463393759,0.012206066796587436,4.9641934374221215,3881,-0.18841145418234576,-3.6278152262054197,3882,0.00592478104070067,True,True,False,False
alpha173,-0.07959270785482013,-0.01506543379294716,-4.953327334570754,3873,-0.0014676148206033558,-2.2239268190609556,3874,1.0,True,True,True,True
alpha177,0.07856278847479742,0.01145881291639809,4.896170132942942,3884,0.008594255868123625,0.19273630093677566,3885,0.9997425997425997,True,False,True,False
alpha100,-0.07755900335673521,-0.01144839764520949,-4.834234698643199,3885,-0.16600758834968735,-3.5660311014928863,3886,0.9866186309830159,True,True,True,True
alpha076,0.07440821833130241,0.014114874217658635,4.635458817558588,3881,0.0971229502632288,1.7098310343635115,3882,1.0,True,False,True,False
alpha077,0.07101890215876071,0.013502149634291296,4.421461407931419,3876,0.09247931441950552,1.6259852858102608,3877,1.0,True,False,True,False
alpha004,0.06908801765999807,0.008331854825642701,4.302358879298874,3878,0.007048491897772976,0.5189726343350864,3879,0.0,True,False,False,False
alpha111,0.06908417737437955,0.007981954893044256,4.303228953513812,3880,0.08936133650043494,4.337845802005226,3881,1.0,True,True,True,True
alpha078,0.06795864529093079,0.012953624680793857,4.22547598480501,3866,0.08559531093932288,1.5026282590242785,3867,1.0,True,False,True,False
alpha020,0.06738883610191714,0.011144552059875308,4.197085779646695,3879,0.017937628224545622,0.3655510373740288,3880,0.42551546391752576,True,False,False,False
alpha112,-0.06689335206443807,-0.005737013171519198,-4.166763220488707,3880,-0.05435877997196345,-3.5205003888885398,3881,1.0,True,True,True,True
